family	uniprot_acc	merops	refseq_protein	gene	organism	length	protein_existence
S8	A0A6J1TZ55		XP_026521718.1	PCSK9	Notechis scutatus (mainland tiger snake)	687	Inferred from homology
S8	A0A6P3FM46		XP_004642652.1	Pcsk9	Octodon degus (Degu) (Sciurus degus)	686	Inferred from homology
S8	A0A8B7FAG2		XP_012605095.1	PCSK9	Microcebus murinus (Gray mouse lemur) (Lemur murinus)	692	Inferred from homology
S8	A0A8B9BJ25			FURIN	Anser brachyrhynchus (Pink-footed goose)	789	Inferred from homology
S8	A0A8C2YU50		XP_005398562.1	PCSK9	Chinchilla lanigera (Long-tailed chinchilla) (Chinchilla villidera)	690	Inferred from homology
S8	A0A8C3YIY3			FURIN	Catagonus wagneri (Chacoan peccary)	799	Inferred from homology
S8	A0A8C4W815		XP_030433269.1	FURIN	Gopherus evgoodei (Goodes thornscrub tortoise)	785	Inferred from homology
S8	A0A8C6WCB3		XP_008831203.1	Pcsk9	Nannospalax galili (Northern Israeli blind subterranean mole rat) (Spalax galili)	693	Inferred from homology
S8	A0A8C7BDN8		XP_044085563.1	FURIN	Neovison vison (American mink) (Mustela vison)	796	Inferred from homology
S8	A0A8C8Y384			FURIN	Panthera leo (Lion)	793	Inferred from homology
S8	A0A8C9B4Q0		XP_032475755.1	FURIN	Phocoena sinus (Vaquita)	792	Inferred from homology
S8	A0A8D0GT42			FURIN	Sphenodon punctatus (Tuatara) (Hatteria punctata)	711	Inferred from homology
S8	A0A8D2ASN6			PCSK9	Sciurus vulgaris (Eurasian red squirrel)	692	Inferred from homology
S8	A0A9W2UE19		XP_019315869.1	FURIN	Panthera pardus (Leopard) (Felis pardus)	793	Inferred from homology
S8	F6RXE5	S08.071;		FURIN	Monodelphis domestica (Gray short-tailed opossum)	779	Inferred from homology
S8	G3SMU1			PCSK9	Loxodonta africana (African elephant)	660	Inferred from homology
S8	H0ZGV1			PCSK9	Taeniopygia guttata (Zebra finch) (Poephila guttata)	663	Inferred from homology
S8	H0ZIR1		XP_030137004.1	FURIN	Taeniopygia guttata (Zebra finch) (Poephila guttata)	789	Inferred from homology
S8	H2N797			PCSK9	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	690	Inferred from homology
S8	H9G9G0	S08.071;		FURIN	Anolis carolinensis (Green anole) (American chameleon)	885	Inferred from homology
S8	A0A2K5S7Q0		XP_017399475.1	PCSK9	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	690	Inferred from homology
S8	A0A2K6CBX3			FURIN	Macaca nemestrina (Pig-tailed macaque)	794	Inferred from homology
S8	A0A2K6CND1			PCSK9	Macaca nemestrina (Pig-tailed macaque)	811	Inferred from homology
S8	A0A2K6QYP8			PCSK9	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	692	Inferred from homology
S8	A0A2R9ALZ2			PCSK9	Pan paniscus (Pygmy chimpanzee) (Bonobo)	692	Inferred from homology
S8	A0A2U4C7Q8		XP_019801392.1	FURIN	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	792	Inferred from homology
S8	A0A2Y9MD65		XP_022419714.1	FURIN	Delphinapterus leucas (Beluga whale)	792	Inferred from homology
S8	A0A452S333		XP_045669029.1	FURIN	Ursus americanus (American black bear) (Euarctos americanus)	793	Inferred from homology
S8	A0A5S7WS22			PCSK9	Macaca mulatta (Rhesus macaque)	747	Inferred from homology
S8	A0A663FJJ9			PCSK9	Aquila chrysaetos chrysaetos	722	Inferred from homology
S8	A0A670I3A4		XP_028589188.1	PCSK9	Podarcis muralis (Wall lizard) (Lacerta muralis)	677	Inferred from homology
S8	A0A670KD85		XP_028561994.1	FURIN	Podarcis muralis (Wall lizard) (Lacerta muralis)	781	Inferred from homology
S8	A0A671G0G0		XP_032955811.1	FURIN	Rhinolophus ferrumequinum (Greater horseshoe bat)	824	Inferred from homology
S8	A0A6I9KRV3		XP_006970056.1	Furin	Peromyscus maniculatus bairdii (Prairie deer mouse)	796	Inferred from homology
S8	A0A8B8WK97		XP_036697642.1	FURIN	Balaenoptera musculus (Blue whale)	795	Inferred from homology
S8	A0A8C0A882			FURIN	Bos mutus grunniens (Wild yak) (Bos grunniens)	797	Inferred from homology
S8	A0A8C0GNS9			FURIN	Chelonoidis abingdonii (Abingdon island giant tortoise) (Testudo abingdonii)	785	Inferred from homology
S8	A0A8C3FMD0			PCSK9	Chrysemys picta bellii (Western painted turtle) (Emys bellii)	688	Inferred from homology
S8	A0A8C3PDM6			FURIN	Chrysemys picta bellii (Western painted turtle) (Emys bellii)	787	Inferred from homology
S8	A0A8C5JYH3		XP_045001193.1	Furin	Jaculus jaculus (Lesser Egyptian jerboa)	794	Inferred from homology
S8	A0A8C6G047			FURIN	Moschus moschiferus (Siberian musk deer) (Moschus sibiricus)	798	Inferred from homology
S8	A0A8C9KII9			FURIN	Panthera tigris altaica (Siberian tiger)	769	Inferred from homology
S8	A0A8D0KHC5				Salvator merianae (Argentine black and white tegu) (Tupinambis merianae)	687	Inferred from homology
S8	A0A8V0X4D8			FURIN	Gallus gallus (Chicken)	794	Inferred from homology
S8	F1RMJ1	S08.071;	XP_001929382.1	FURIN	Sus scrofa (Pig)	797	Inferred from homology
S8	F7B3I1			PCSK9	Callithrix jacchus (White-tufted-ear marmoset) (Simia Jacchus)	690	Inferred from homology
S8	G0N929	S08.109;		Cbn-egl-3	Caenorhabditis brenneri (Nematode worm)	652	Inferred from homology
S8	G1RND5			FURIN	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	785	Inferred from homology
S8	G1RWX5	S08.039;		PCSK9	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	693	Inferred from homology
S8	G3QYP4	S08.071;	XP_004056820.1	FURIN	Gorilla gorilla gorilla (Western lowland gorilla)	794	Inferred from homology
S8	G3S2C5			PCSK9	Gorilla gorilla gorilla (Western lowland gorilla)	690	Inferred from homology
S8	G3VUC2		XP_031824908.1	PCSK9	Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	685	Inferred from homology
S8	I3M601			PCSK9	Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus)	682	Inferred from homology
S8	K7F6K7			PCSK9	Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis)	690	Inferred from homology
S8	U3IAI8			PCSK9	Anas platyrhynchos platyrhynchos (Northern mallard)	656	Inferred from homology
S8	A0A2R8Y7U1			TPP1	Homo sapiens (Human)	400	Evidence at protein level
S8	A0A494C0U1			TPP2	Homo sapiens (Human)	1179	Evidence at protein level
S8	A0AAQ5BGX4		NP_001394169.1	PCSK9	Homo sapiens (Human)	733	Evidence at protein level
S8	A0A2R8YGD1			TPP1	Homo sapiens (Human)	470	Evidence at protein level
S8	A0A494C1B8			TPP2	Homo sapiens (Human)	1173	Evidence at protein level
S8	A0A804HJ17			TPP1	Homo sapiens (Human)	525	Evidence at protein level
S8	A0AA34QVH0			PCSK9	Homo sapiens (Human)	811	Evidence at protein level
S8	Q5JSG7			PCSK5	Homo sapiens (Human)	1560	Evidence at protein level
S8	A0A0P6JL18		XP_004842832.1	MBTPS1	Heterocephalus glaber (Naked mole rat)	1054	Inferred from homology
S8	A0A1A6G4K7				Neotoma lepida (Desert woodrat)	794	Inferred from homology
S8	A0A1U8BY95		XP_012971100.1	Mbtps1	Mesocricetus auratus (Golden hamster)	1052	Inferred from homology
S8	A0A2K5QN14		XP_017399086.1	MBTPS1	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	1052	Inferred from homology
S8	A0A2K5R7F2		XP_017374384.1	PCSK6	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	956	Inferred from homology
S8	A0A2K5X4Q2			PCSK5	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	1885	Inferred from homology
S8	A0A2K6CMT2			MBTPS1	Macaca nemestrina (Pig-tailed macaque)	1052	Inferred from homology
S8	A0A2K6CRX6			TPP1	Macaca nemestrina (Pig-tailed macaque)	563	Predicted
S8	A0A2K6R0K5			TPP1	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)	563	Predicted
S8	A0A2K6S3X6			PCSK5	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	1819	Inferred from homology
S8	A0A2P6VQ36			g920	Micractinium conductrix	1573	Inferred from homology
S8	A0A2Y9EHQ1		XP_007103032.1	TPP1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	563	Predicted
S8	A0A3Q7R2L7		XP_025748746.1	FURIN	Callorhinus ursinus (Northern fur seal)	792	Inferred from homology
S8	A0A452DNL7		XP_017917267.1	MBTPS1	Capra hircus (Goat)	1059	Inferred from homology
S8	A0A4W2EKG7		XP_027418950.1	TPP1	Bos indicus x Bos taurus (Hybrid cattle)	572	Predicted
S8	A0A5N4CDV9		XP_031296454.1	Furin	Camelus dromedarius (Dromedary) (Arabian camel)	793	Inferred from homology
S8	A0A667FTR1			FURIN	Lynx canadensis (Canada lynx) (Felis canadensis)	750	Inferred from homology
S8	A0A674JYF0			TPP1	Terrapene triunguis (Three-toed box turtle)	566	Predicted
S8	A0A6J2B2A3		XP_027425972.1	FURIN	Zalophus californianus (California sealion)	792	Inferred from homology
S8	A0A6J3GLM9		XP_032118317.1	FURIN	Sapajus apella (Brown-capped capuchin) (Cebus apella)	794	Inferred from homology
S8	A0A6P5PYS0		XP_021021900.1	Furin	Mus caroli (Ryukyu mouse) (Ricefield mouse)	803	Inferred from homology
S8	A0A6P5R271		XP_021035982.1	Pcsk1	Mus caroli (Ryukyu mouse) (Ricefield mouse)	753	Inferred from homology
S8	A0A7L0EQ48			Furin	Trogon melanurus (Black-tailed trogon)	791	Inferred from homology
S8	A0A7M4E309			MBTPS1	Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)	1073	Inferred from homology
S8	A0A8B9WNA8			TPP1	Bos mutus grunniens (Wild yak) (Bos grunniens)	572	Predicted
S8	A0A8C2ULT4			MBTPS1	Chinchilla lanigera (Long-tailed chinchilla) (Chinchilla villidera)	1052	Inferred from homology
S8	A0A8C5WPA4			MBTPS1	Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait)	1059	Inferred from homology
S8	A0A8C6ANE2		XP_029100006.1	MBTPS1	Monodon monoceros (Narwhal) (Ceratodon monodon)	1054	Inferred from homology
S8	A0A8C6BQP6		XP_029058532.1	PCSK5	Monodon monoceros (Narwhal) (Ceratodon monodon)	1877	Inferred from homology
S8	A0A8C6CAR2		XP_029064821.1	TPP1	Monodon monoceros (Narwhal) (Ceratodon monodon)	572	Predicted
S8	A0A8C6I1N7				Mus spicilegus (Mound-building mouse)	753	Inferred from homology
S8	A0A8C6MTQ8				Mus spicilegus (Mound-building mouse)	1877	Inferred from homology
S8	A0A8C8TX66				Peromyscus maniculatus bairdii (Prairie deer mouse)	563	Predicted
S8	A0A8C8WSS0			TPP1	Panthera leo (Lion)	563	Predicted
S8	A0A8C9E9S1			PCSK5	Phocoena sinus (Vaquita)	1887	Inferred from homology
S8	A0A8C9IEW2		XP_023051116.1	FURIN	Piliocolobus tephrosceles (Ugandan red Colobus)	793	Inferred from homology
S8	A0A8D2CNG1			TPP1	Sciurus vulgaris (Eurasian red squirrel)	579	Predicted
S8	A0A8H6UMI0				Aspergillus felis	1329	Inferred from homology
S8	A0A8V0XEP8		XP_015136410.2	TPP1	Gallus gallus (Chicken)	575	Evidence at protein level
S8	A0A9L0JAM9		XP_044623520.1	PCSK5	Equus asinus (Donkey) (Equus africanus asinus)	1886	Inferred from homology
S8	A0A9N7U1H9				Pleuronectes platessa (European plaice)	1108	Inferred from homology
S8	A0AAV2A935				Larinioides sclopetarius	1241	Inferred from homology
S8	E3LTU2	S08.109;	XP_003112624.2	Cre-egl-3	Caenorhabditis remanei (Caenorhabditis vulgaris)	652	Inferred from homology
S8	G3QDR6	S53.003;		TPP1	Gorilla gorilla gorilla (Western lowland gorilla)	563	Predicted
S8	H0V6Z3	S08.063;	XP_003462008.1	MBTPS1	Cavia porcellus (Guinea pig)	1052	Inferred from homology
S8	H2LZ89			furina	Oryzias latipes (Japanese rice fish) (Japanese killifish)	814	Inferred from homology
S8	H2PSF2			PCSK5	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	1887	Inferred from homology
S8	M3YC21	S08.063;	XP_004753962.1	MBTPS1	Mustela putorius furo (European domestic ferret) (Mustela furo)	1050	Inferred from homology
S8	U3IC63			MBTPS1	Anas platyrhynchos platyrhynchos (Northern mallard)	1060	Inferred from homology
S8	U3JYZ7			MBTPS1	Ficedula albicollis (Collared flycatcher) (Muscicapa albicollis)	1069	Inferred from homology
S8	A0A2K5CC28		XP_012312167.1	TPP1	Aotus nancymaae (Ma's night monkey)	572	Predicted
S8	A0A2K5F5D8		XP_012321563.1	MBTPS1	Aotus nancymaae (Ma's night monkey)	1052	Inferred from homology
S8	A0A2K5HPZ1		XP_011803654.1		Colobus angolensis palliatus (Peters' Angolan colobus)	794	Inferred from homology
S8	A0A2K5KZ34			MBTPS1	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	1052	Inferred from homology
S8	A0A2K6K2W1			MBTPS1	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	1052	Inferred from homology
S8	A0A2P6VQ37			g920	Micractinium conductrix	1572	Inferred from homology
S8	A0A2R9B3H1			TPP1	Pan paniscus (Pygmy chimpanzee) (Bonobo)	563	Predicted
S8	A0A2Y9K0W6		XP_022366781.1	LOC111152580	Enhydra lutris kenyoni (northern sea otter)	795	Inferred from homology
S8	A0A452SMB6		XP_045638973.1	TPP1	Ursus americanus (American black bear) (Euarctos americanus)	572	Predicted
S8	A0A4W6CR13		XP_018525741.1	PCSK9	Lates calcarifer (Barramundi) (Holocentrus calcarifer)	664	Inferred from homology
S8	A0A510NWD8				Talaromyces pinophilus (Penicillium pinophilum)	1094	Inferred from homology
S8	A0A6J2A293		XP_026923937.1	FURIN	Acinonyx jubatus (Cheetah)	793	Inferred from homology
S8	A0A6P3HJ45		XP_010839442.1	FURIN	Bison bison bison (North American plains bison)	724	Inferred from homology
S8	A0A6P3R3B3		XP_011374454.1	FURIN	Pteropus vampyrus (Large flying fox)	794	Inferred from homology
S8	A0A6P5PCP3		XP_021015141.1	Pcsk9	Mus caroli (Ryukyu mouse) (Ricefield mouse)	704	Inferred from homology
S8	A0A6P5Q2J7		XP_021023552.1	Tpp1	Mus caroli (Ryukyu mouse) (Ricefield mouse)	562	Predicted
S8	A0A6P6DS92		XP_004646620.1	Mbtps1	Octodon degus (Degu) (Sciurus degus)	1052	Inferred from homology
S8	A0A7L2HHF9			Furin	Sagittarius serpentarius (Secretary bird)	778	Inferred from homology
S8	A0A7N4PHA5		XP_003758493.1	MBTPS1	Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	1051	Inferred from homology
S8	A0A811S5L7				Miscanthus lutarioriparius	1871	Inferred from homology
S8	A0A8B7A7D6		XP_007943332.1	FURIN	Orycteropus afer afer	793	Inferred from homology
S8	A0A8B9BAF3			TPP1	Anser brachyrhynchus (Pink-footed goose)	578	Predicted
S8	A0A8B9D2Y1			PCSK9	Anser brachyrhynchus (Pink-footed goose)	656	Inferred from homology
S8	A0A8B9D3I4			MBTPS1	Anser brachyrhynchus (Pink-footed goose)	1060	Inferred from homology
S8	A0A8B9XXJ0			MBTPS1	Bos mutus grunniens (Wild yak) (Bos grunniens)	1052	Inferred from homology
S8	A0A8C0GSQ0			TPP1	Chelonoidis abingdonii (Abingdon island giant tortoise) (Testudo abingdonii)	573	Predicted
S8	A0A8C0K770		XP_025315105.1	TPP1	Canis lupus dingo (dingo)	594	Predicted
S8	A0A8C2MIZ5		XP_027262357.1	LOC100762283	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	1878	Inferred from homology
S8	A0A8C4L031		XP_014707590.1	TPP1	Equus asinus (Donkey) (Equus africanus asinus)	584	Predicted
S8	A0A8C4MAU6		XP_014697666.1	MBTPS1	Equus asinus (Donkey) (Equus africanus asinus)	1054	Inferred from homology
S8	A0A8C4YE08		XP_030402699.1	TPP1	Gopherus evgoodei (Goodes thornscrub tortoise)	577	Predicted
S8	A0A8C5S5K9			FURIN	Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait)	536	Inferred from homology
S8	A0A8C5UMS3			TPP1	Microcebus murinus (Gray mouse lemur) (Lemur murinus)	563	Predicted
S8	A0A8C6D457			MBTPS1	Moschus moschiferus (Siberian musk deer) (Moschus sibiricus)	1058	Inferred from homology
S8	A0A8C6E5Y9			TPP1	Moschus moschiferus (Siberian musk deer) (Moschus sibiricus)	572	Predicted
S8	A0A8C6ESW4			MBTPS1	Marmota marmota marmota (Alpine marmot)	1052	Inferred from homology
S8	A0A8C6IB66				Mus spicilegus (Mound-building mouse)	571	Predicted
S8	A0A8C6XBY2			TPP1	Naja naja (Indian cobra)	610	Predicted
S8	A0A8C6XCN4			MBTPS1	Naja naja (Indian cobra)	1059	Inferred from homology
S8	A0A8C6YAS6			FURIN	Naja naja (Indian cobra)	1492	Inferred from homology
S8	A0A8C6YDG2			FURIN	Naja naja (Indian cobra)	1357	Inferred from homology
S8	A0A8C7E675			FURIN	Naja naja (Indian cobra)	1415	Inferred from homology
S8	A0A8C8TRN2		XP_042133701.1	Mbtps1	Peromyscus maniculatus bairdii (Prairie deer mouse)	1052	Inferred from homology
S9	P42658	S09.973;	NP_570629.2	DPP6	Homo sapiens (Human)	865	Evidence at protein level
S9	P13798	S09.004;	NP_001631.3	APEH	Homo sapiens (Human)	732	Evidence at protein level
S9	Q86TI2	S09.019;	NP_001371540.1	DPP9	Homo sapiens (Human)	863	Evidence at protein level
S9	Q8N608	S09.974;	NP_001004360.3	DPP10	Homo sapiens (Human)	796	Evidence at protein level
S9	P27487	S09.003;	NP_001926.2	DPP4	Homo sapiens (Human)	766	Evidence at protein level
S9	Q4J6C6	S09.015;	NP_001035844.1	PREPL	Homo sapiens (Human)	727	Evidence at protein level
S9	Q6V1X1	S09.018;	NP_001307804.1	DPP8	Homo sapiens (Human)	898	Evidence at protein level
S9	P48147	S09.001;	NP_002717.3	PREP	Homo sapiens (Human)	710	Evidence at protein level
S9	Q12884	S09.007;	NP_001278736.1	FAP	Homo sapiens (Human)	760	Evidence at protein level
S9	P81425	S09.003;	NP_776464.1	DPP4	Bos taurus (Bovine)	765	Evidence at protein level
S9	Q6NXK7	S09.974;	NP_950186.3	Dpp10	Mus musculus (Mouse)	797	Evidence at protein level
S9	Q9QUR6	S09.001;	NP_035286.1	Prep	Mus musculus (Mouse)	710	Evidence at protein level
S9	O70196	S09.001;	NP_112614.2	Prep	Rattus norvegicus (Rat)	710	Evidence at protein level
S9	P13676		NP_036632.1	Apeh	Rattus norvegicus (Rat)	732	Evidence at protein level
S9	P14740	S09.003;	NP_036921.2	Dpp4	Rattus norvegicus (Rat)	767	Evidence at protein level
S9	P46101	S09.973;	NP_074041.2	Dpp6	Rattus norvegicus (Rat)	859	Evidence at protein level
S9	Q6Q629	S09.974;	NP_001012205.1	Dpp10	Rattus norvegicus (Rat)	796	Evidence at protein level
S9	Q86AS5	S09.B02;	XP_644295.1	prep	Dictyostelium discoideum (Social amoeba)	760	Evidence at protein level
S9	Q8BVG4	S09.019;	NP_766212.2	Dpp9	Mus musculus (Mouse)	862	Evidence at protein level
S9	Q8C167	S09.015;	NP_001157094.1	Prepl	Mus musculus (Mouse)	725	Evidence at protein level
S9	Q8R146	S09.004;	NP_001397427.1	Apeh	Mus musculus (Mouse)	732	Evidence at protein level
S9	Q84LM4			AARE	Arabidopsis thaliana (Mouse-ear cress)	764	Evidence at protein level
S9	A5D7B7	S09.007;	NP_001091470.1	FAP	Bos taurus (Bovine)	760	Evidence at protein level
S9	P28843	S09.003;	NP_001153015.1	Dpp4	Mus musculus (Mouse)	760	Evidence at protein level
S9	P80227	S09.004;	NP_001076900.1	APEH	Bos taurus (Bovine)	730	Evidence at protein level
S9	P97321	S09.007;	NP_032012.1	Fap	Mus musculus (Mouse)	761	Evidence at protein level
S9	Q9Z218	S09.973;	NP_034205.1	Dpp6	Mus musculus (Mouse)	804	Evidence at protein level
S9	P19205	S09.004;	NP_999088.1	APEH	Sus scrofa (Pig)	732	Evidence at protein level
S9	Q9N2I7	S09.003;	NP_001009838.1	DPP4	Felis catus (Cat) (Felis silvestris catus)	765	Evidence at transcript level
S9	H2E7Q8	S09.077;		POPB	Galerina marginata (strain CBS 339.88)	730	Evidence at protein level
S9	Q5AZ32		XP_664052.1	cicF	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	2517	Evidence at protein level
S9	P22411	S09.003;	NP_999422.1	DPP4	Sus scrofa (Pig)	766	Evidence at protein level
S9	P25154	S09.004;		APEH	Oryctolagus cuniculus (Rabbit)	737	Evidence at protein level
S9	P33894	S09.005;	NP_014862.3	STE13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	931	Evidence at protein level
S9	P42659	S09.973;	NP_776465.1	DPP6	Bos taurus (Bovine)	863	Evidence at protein level
S9	Q5HZA6	S09.015;	NP_001010951.1	Prepl	Rattus norvegicus (Rat)	726	Evidence at protein level
S9	A0A2R8QP51		NP_001070781.2	dpp9	Danio rerio (Zebrafish) (Brachydanio rerio)	885	Inferred from homology
S9	Q8VZF3	S09.021;	NP_850473.1	GEP	Arabidopsis thaliana (Mouse-ear cress)	960	Evidence at transcript level
S9	Q80YA7	S09.018;	NP_001388065.1	Dpp8	Mus musculus (Mouse)	892	Evidence at protein level
S9	Q8RXP6	S09.A24;	NP_568395.1	WAV2	Arabidopsis thaliana (Mouse-ear cress)	308	Evidence at transcript level
S9	Q7JKY3	S09.A76;	NP_506850.1	dpf-1	Caenorhabditis elegans	799	Evidence at protein level
S9	A0A5N6TQS7			aveA	Aspergillus avenaceus	2197	Evidence at protein level
S9	C4JF72		XP_002542778.1	uncA	Uncinocarpus reesii (strain UAMH 1704)	2149	Evidence at protein level
S9	A0A0F7U103			ausA	Penicillium brasilianum	2475	Inferred from homology
S9	B0XRV0	S09.012;			Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)	721	Evidence at protein level
S9	P23687	S09.001;	NP_001004050.1	PREP	Sus scrofa (Pig)	710	Evidence at protein level
S9	B2D0J4		NP_001119715.2		Apis mellifera (Honeybee)	775	Evidence at protein level
S9	B6HV32			adrD	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum)	2496	Evidence at protein level
S9	Q2UH35	S09.008;	XP_001821132.1	dpp4	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	771	Evidence at protein level
S9	P18962	S09.006;	NP_011893.1	DAP2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	818	Evidence at protein level
S9	Q10MJ1	S09.021;		GEP	Oryza sativa subsp. japonica (Rice)	938	Evidence at transcript level
S9	Q9XTA2	S09.001;	NP_777197.1	PREP	Bos taurus (Bovine)	710	Evidence at transcript level
S9	Q18253	S09.A74;	NP_510461.1	dpf-2	Caenorhabditis elegans	829	Evidence at protein level
S9	P34422	S09.A77;	NP_001370390.1	dpf-6	Caenorhabditis elegans	740	Inferred from homology
S9	A0A0E1RWJ5		XP_001243721.2	cocB	Coccidioides immitis (strain RS) (Valley fever fungus)	2211	Evidence at protein level
S9	B6QVW4	S09.006;		dapB	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	899	Inferred from homology
S9	C5FH88	S09.012;	XP_002848692.1	DPP5	Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)	726	Inferred from homology
S9	C5JC30	S09.006;	XP_002628849.1	DAPB	Blastomyces gilchristii (strain SLH14081) (Blastomyces dermatitidis)	915	Inferred from homology
S9	C7YYG9		XP_003048718.1	DAPB	Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4) (Fusarium solani subsp. pisi)	912	Inferred from homology
S9	D5GM60	S09.006;	XP_002841412.1	DAPB	Tuber melanosporum (strain Mel28) (Perigord black truffle)	907	Inferred from homology
S9	E3QKD2		XP_008095340.1	DAPB	Colletotrichum graminicola (strain M1.001 / M2 / FGSC 10212) (Maize anthracnose fungus) (Glomerella graminicola)	921	Inferred from homology
S9	E3S9K3			dapB	Pyrenophora teres f. teres (strain 0-1) (Barley net blotch fungus) (Drechslera teres f. teres)	907	Inferred from homology
S9	E4UYL6		XP_003172590.1	DAPB	Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893) (Microsporum gypseum)	917	Inferred from homology
S9	E9CUF4			DAPB	Coccidioides posadasii (strain RMSCC 757 / Silveira) (Valley fever fungus)	917	Inferred from homology
S9	O14073	S09.006;			Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	793	Inferred from homology
S9	Q2HF90		XP_001220335.1	DAPB	Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) (Soil fungus)	925	Inferred from homology
S9	Q2UPW4	S09.006;		dapB	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	902	Inferred from homology
S9	A0A1Q3EPF5			ledP	Lentinula edodes (Shiitake mushroom) (Lentinus edodes)	744	Evidence at protein level
S9	A1CHP1	S09.008;	XP_001271822.1	dpp4	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	768	Inferred from homology
S9	A1D7R6	S09.006;	XP_001263657.1	dapB	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus)	919	Inferred from homology
S9	A2QEK7	S09.006;		dapB	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	901	Inferred from homology
S9	A4QYQ5	S09.006;	XP_003712956.1	DAPB	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	938	Inferred from homology
S9	A5LFV8	S09.015;		PREPL	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	727	Evidence at transcript level
S9	A6SL49	S09.006;	XP_001547950.1	dapB	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	921	Inferred from homology
S9	C5GVF3			DAPB	Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586) (Blastomyces dermatitidis)	915	Inferred from homology
S9	D4ARB1		XP_003014894.1	DPP5	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	726	Evidence at protein level
S9	Q4WPH9	S09.008;		dpp4	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	765	Inferred from homology
S9	Q5AZ42	S09.008;	XP_664042.1	dpp4	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	773	Inferred from homology
S9	Q5RAK4	S09.015;	NP_001124991.2	PREPL	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	727	Evidence at transcript level
S9	A0A1L7U5Y7			FMN3	Fusarium mangiferae (Mango malformation disease fungus)	289	Evidence at transcript level
